0,llo_lKey.tab,main.py - UserLog - Visual Studio Code
1,Key.tabKey.tab,Alternância de Tarefas
2,the less i know the better,Tame Impala - List of People (To Try and Forget About) (Official Audio) - YouTube - Google Chrome
3,,the less i know the better - YouTube - Google Chrome
4,,Tame Impala - The Less I Know The Better - Later... 
5,_lKey.tab,Tame Impala - The Less I Know The Better - Later... with Jools Holland - BBC Two - YouTube - Google Chrome
6,Key.tab,Alternância de Tarefas
7,_lKey.tab,UserLog
8,Key.tabKey.tab,Alternância de Tarefas
9,Key.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspaceKey.backspacegit add Key.shiftKey.shiftKey.shiftKey.shiftREKey.tab,MINGW64:/c/Users/Raisa/Desktop/UserLog
10,"git commit -m Key.shift""Key.shiftUpdate Key.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftREADME.mdKey.shiftKey.shiftKey.shiftKey.shiftKey.shiftKey.shift""",MINGW64:/c/Users/Raisa/Desktop/UserLog
11,git push,MINGW64:/c/Users/Raisa/Desktop/UserLog
12,_lKey.tab,MINGW64:/c/Users/Raisa/Desktop/UserLog
13,Key.tabKey.tab,Alternância de Tarefas
14,,main.py - UserLog - Visual Studio Code
